C = 3.60674 , sum_Dbr = 12 ,b = 3
C = 3.60674 , sum_Dbr = 20 ,b = 4
C = 3.5347 , sum_Dbr = 38 ,b = 6
C = 3.5347 , sum_Dbr = 60 ,b = 8
C = 3.5347 , sum_Dbr = 72 ,b = 9
C = 3.48772 , sum_Dbr = 104 ,b = 12
C = 3.48772 , sum_Dbr = 160 ,b = 16
C = 3.48772 , sum_Dbr = 183 ,b = 18
C = 3.47435 , sum_Dbr = 265 ,b = 24
C = 3.47435 , sum_Dbr = 324 ,b = 27
C = 3.47435 , sum_Dbr = 400 ,b = 32
C = 3.45719 , sum_Dbr = 446 ,b = 36
C = 3.45719 , sum_Dbr = 645 ,b = 48
C = 3.45719 , sum_Dbr = 757 ,b = 54
C = 3.45719 , sum_Dbr = 960 ,b = 64
C = 3.43271 , sum_Dbr = 1057 ,b = 72
C = 3.43271 , sum_Dbr = 1296 ,b = 81
C = 3.43271 , sum_Dbr = 1521 ,b = 96
C = 3.43271 , sum_Dbr = 1741 ,b = 108
C = 3.43271 , sum_Dbr = 2240 ,b = 128
C = 3.41925 , sum_Dbr = 2447 ,b = 144
C = 3.41925 , sum_Dbr = 2897 ,b = 162
C = 3.41925 , sum_Dbr = 3505 ,b = 192
C = 3.4124 , sum_Dbr = 3962 ,b = 216
C = 3.4124 , sum_Dbr = 4860 ,b = 243
C = 3.4124 , sum_Dbr = 5120 ,b = 256
C = 3.4124 , sum_Dbr = 5566 ,b = 288
C = 3.4124 , sum_Dbr = 6442 ,b = 324
C = 3.4124 , sum_Dbr = 7938 ,b = 384
C = 3.39454 , sum_Dbr = 8899 ,b = 432
C = 3.39454 , sum_Dbr = 10574 ,b = 486
C = 3.39454 , sum_Dbr = 11520 ,b = 512
C = 3.39454 , sum_Dbr = 12484 ,b = 576
C = 3.39454 , sum_Dbr = 14276 ,b = 648
C = 3.39454 , sum_Dbr = 17496 ,b = 729
C = 3.39454 , sum_Dbr = 17736 ,b = 768
C = 3.38429 , sum_Dbr = 19771 ,b = 864
C = 3.38429 , sum_Dbr = 23004 ,b = 972
C = 3.38429 , sum_Dbr = 25600 ,b = 1024
C = 3.38429 , sum_Dbr = 27685 ,b = 1152
C = 3.38075 , sum_Dbr = 31402 ,b = 1296
C = 3.38075 , sum_Dbr = 37383 ,b = 1458
C = 3.38075 , sum_Dbr = 39199 ,b = 1536
C = 3.37819 , sum_Dbr = 43517 ,b = 1728
C = 3.37819 , sum_Dbr = 50052 ,b = 1944
C = 3.37819 , sum_Dbr = 56320 ,b = 2048
C = 3.37819 , sum_Dbr = 61236 ,b = 2187
C = 3.37819 , sum_Dbr = 60826 ,b = 2304
C = 3.3672 , sum_Dbr = 68602 ,b = 2592
C = 3.3672 , sum_Dbr = 80094 ,b = 2916
C = 3.3672 , sum_Dbr = 85863 ,b = 3072
C = 3.3672 , sum_Dbr = 95034 ,b = 3456
C = 3.3672 , sum_Dbr = 108438 ,b = 3888
C = 3.3672 , sum_Dbr = 122880 ,b = 4096
C = 3.3672 , sum_Dbr = 129162 ,b = 4374
C = 3.3672 , sum_Dbr = 132597 ,b = 4608
C = 3.35876 , sum_Dbr = 148929 ,b = 5184
C = 3.35876 , sum_Dbr = 171954 ,b = 5832
C = 3.35876 , sum_Dbr = 186674 ,b = 6144
C = 3.35876 , sum_Dbr = 209952 ,b = 6561
C = 3.35876 , sum_Dbr = 206152 ,b = 6912
C = 3.35782 , sum_Dbr = 233918 ,b = 7776
C = 3.35782 , sum_Dbr = 266240 ,b = 8192
C = 3.35782 , sum_Dbr = 273632 ,b = 8748
C = 3.35782 , sum_Dbr = 287137 ,b = 9216
C = 3.35356 , sum_Dbr = 321497 ,b = 10368
C = 3.35356 , sum_Dbr = 368283 ,b = 11664
C = 3.35356 , sum_Dbr = 403276 ,b = 12288
C = 3.35356 , sum_Dbr = 438601 ,b = 13122
C = 3.35356 , sum_Dbr = 444602 ,b = 13824
C = 3.34694 , sum_Dbr = 502399 ,b = 15552
C = 3.34694 , sum_Dbr = 573440 ,b = 16384
C = 3.34694 , sum_Dbr = 581532 ,b = 17496
C = 3.34694 , sum_Dbr = 618256 ,b = 18432
C = 3.34694 , sum_Dbr = 708588 ,b = 19683
C = 3.34694 , sum_Dbr = 690552 ,b = 20736
C = 3.34694 , sum_Dbr = 786678 ,b = 23328
C = 3.34694 , sum_Dbr = 866467 ,b = 24576
C = 3.34694 , sum_Dbr = 921211 ,b = 26244
C = 3.34694 , sum_Dbr = 954011 ,b = 27648
C = 3.33988 , sum_Dbr = 1074685 ,b = 31104
C = 3.33988 , sum_Dbr = 1228800 ,b = 32768
C = 3.33988 , sum_Dbr = 1234418 ,b = 34992
C = 3.33988 , sum_Dbr = 1324647 ,b = 36864
C = 3.33988 , sum_Dbr = 1469344 ,b = 39366
C = 3.33988 , sum_Dbr = 1476687 ,b = 41472
C = 3.33988 , sum_Dbr = 1675325 ,b = 46656
C = 3.33988 , sum_Dbr = 1852871 ,b = 49152
C = 3.33988 , sum_Dbr = 1942276 ,b = 52488
C = 3.33988 , sum_Dbr = 2038005 ,b = 55296
C = 3.33988 , sum_Dbr = 2361960 ,b = 59049
C = 3.33521 , sum_Dbr = 2290175 ,b = 62208
C = 3.33521 , sum_Dbr = 2621440 ,b = 65536
C = 3.33521 , sum_Dbr = 2616230 ,b = 69984
C = 3.33521 , sum_Dbr = 2825865 ,b = 73728
C = 3.33521 , sum_Dbr = 3065265 ,b = 78732
C = 3.33521 , sum_Dbr = 3145277 ,b = 82944
C = 3.33133 , sum_Dbr = 3557315 ,b = 93312
C = 3.33133 , sum_Dbr = 3945807 ,b = 98304
C = 3.33133 , sum_Dbr = 4093603 ,b = 104976
C = 3.33133 , sum_Dbr = 4336594 ,b = 110592
C = 3.33133 , sum_Dbr = 4869167 ,b = 118098
C = 3.33133 , sum_Dbr = 4863633 ,b = 124416
C = 3.33133 , sum_Dbr = 5570560 ,b = 131072
C = 3.33133 , sum_Dbr = 5533327 ,b = 139968
C = 3.33133 , sum_Dbr = 6005415 ,b = 147456
C = 3.33133 , sum_Dbr = 6421575 ,b = 157464
C = 3.33133 , sum_Dbr = 6675643 ,b = 165888
C = 3.33133 , sum_Dbr = 7794468 ,b = 177147
C = 3.3252 , sum_Dbr = 7531672 ,b = 186624
C = 3.3252 , sum_Dbr = 8372087 ,b = 196608
C = 3.3252 , sum_Dbr = 8620878 ,b = 209952
C = 3.3252 , sum_Dbr = 9195493 ,b = 221184
C = 3.3252 , sum_Dbr = 10102478 ,b = 236196
C = 3.3252 , sum_Dbr = 10296523 ,b = 248832
